I, [2020-03-17T17:11:39.760987 #9745]  INFO -- : (0.000124s) SELECT sqlite_version()
I, [2020-03-17T17:11:39.768747 #9745]  INFO -- : (0.000027s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.768764 #9745]  INFO -- : (0.000027s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.768922 #9745]  INFO -- : (0.000042s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.768947 #9745]  INFO -- : (0.000042s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.768963 #9745]  INFO -- : (0.000042s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.768978 #9745]  INFO -- : (0.000042s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.769072 #9745]  INFO -- : (0.000026s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-11')
I, [2020-03-17T17:11:39.769096 #9745]  INFO -- : (0.000026s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-11')
I, [2020-03-17T17:11:39.769112 #9745]  INFO -- : (0.000026s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-11')
I, [2020-03-17T17:11:39.769127 #9745]  INFO -- : (0.000026s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-11')
I, [2020-03-17T17:11:39.769324 #9745]  INFO -- : (0.000041s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.769350 #9745]  INFO -- : (0.000041s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.769366 #9745]  INFO -- : (0.000041s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.769381 #9745]  INFO -- : (0.000041s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.769851 #9745]  INFO -- : (0.000375s) SELECT * FROM `expenses` WHERE (`date` = '2017-06-10')
I, [2020-03-17T17:11:39.769881 #9745]  INFO -- : (0.000375s) SELECT * FROM `expenses` WHERE (`date` = '2017-06-10')
I, [2020-03-17T17:11:39.769898 #9745]  INFO -- : (0.000375s) SELECT * FROM `expenses` WHERE (`date` = '2017-06-10')
I, [2020-03-17T17:11:39.769911 #9745]  INFO -- : (0.000375s) SELECT * FROM `expenses` WHERE (`date` = '2017-06-10')
I, [2020-03-17T17:11:39.772863 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.772909 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.772928 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.772943 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.772958 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.773481 #9745]  INFO -- : (0.000467s) ROLLBACK
I, [2020-03-17T17:11:39.773510 #9745]  INFO -- : (0.000467s) ROLLBACK
I, [2020-03-17T17:11:39.773536 #9745]  INFO -- : (0.000467s) ROLLBACK
I, [2020-03-17T17:11:39.773550 #9745]  INFO -- : (0.000467s) ROLLBACK
I, [2020-03-17T17:11:39.773563 #9745]  INFO -- : (0.000467s) ROLLBACK
I, [2020-03-17T17:11:39.774130 #9745]  INFO -- : (0.000034s) BEGIN
I, [2020-03-17T17:11:39.774161 #9745]  INFO -- : (0.000034s) BEGIN
I, [2020-03-17T17:11:39.774179 #9745]  INFO -- : (0.000034s) BEGIN
I, [2020-03-17T17:11:39.774195 #9745]  INFO -- : (0.000034s) BEGIN
I, [2020-03-17T17:11:39.774210 #9745]  INFO -- : (0.000034s) BEGIN
I, [2020-03-17T17:11:39.774338 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.774375 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.774392 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.774431 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.774455 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.774472 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.774909 #9745]  INFO -- : (0.000286s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.774936 #9745]  INFO -- : (0.000286s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.774952 #9745]  INFO -- : (0.000286s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.774979 #9745]  INFO -- : (0.000286s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.774994 #9745]  INFO -- : (0.000286s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.775011 #9745]  INFO -- : (0.000286s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.775163 #9745]  INFO -- : (0.000090s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.775192 #9745]  INFO -- : (0.000090s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.775209 #9745]  INFO -- : (0.000090s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.775223 #9745]  INFO -- : (0.000090s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.775242 #9745]  INFO -- : (0.000090s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.775256 #9745]  INFO -- : (0.000090s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.779259 #9745]  INFO -- : (0.000124s) SELECT * FROM `expenses`
I, [2020-03-17T17:11:39.779309 #9745]  INFO -- : (0.000124s) SELECT * FROM `expenses`
I, [2020-03-17T17:11:39.779328 #9745]  INFO -- : (0.000124s) SELECT * FROM `expenses`
I, [2020-03-17T17:11:39.779343 #9745]  INFO -- : (0.000124s) SELECT * FROM `expenses`
I, [2020-03-17T17:11:39.779358 #9745]  INFO -- : (0.000124s) SELECT * FROM `expenses`
I, [2020-03-17T17:11:39.779372 #9745]  INFO -- : (0.000124s) SELECT * FROM `expenses`
I, [2020-03-17T17:11:39.781272 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.781303 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.781321 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.781336 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.781349 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.781363 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.781376 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record with a valid expense successfully saves the expense in the DB
I, [2020-03-17T17:11:39.781822 #9745]  INFO -- : (0.000390s) ROLLBACK
I, [2020-03-17T17:11:39.781850 #9745]  INFO -- : (0.000390s) ROLLBACK
I, [2020-03-17T17:11:39.781866 #9745]  INFO -- : (0.000390s) ROLLBACK
I, [2020-03-17T17:11:39.781880 #9745]  INFO -- : (0.000390s) ROLLBACK
I, [2020-03-17T17:11:39.781893 #9745]  INFO -- : (0.000390s) ROLLBACK
I, [2020-03-17T17:11:39.781927 #9745]  INFO -- : (0.000390s) ROLLBACK
I, [2020-03-17T17:11:39.781943 #9745]  INFO -- : (0.000390s) ROLLBACK
I, [2020-03-17T17:11:39.782790 #9745]  INFO -- : (0.000024s) BEGIN
I, [2020-03-17T17:11:39.782829 #9745]  INFO -- : (0.000024s) BEGIN
I, [2020-03-17T17:11:39.782849 #9745]  INFO -- : (0.000024s) BEGIN
I, [2020-03-17T17:11:39.782866 #9745]  INFO -- : (0.000024s) BEGIN
I, [2020-03-17T17:11:39.782883 #9745]  INFO -- : (0.000024s) BEGIN
I, [2020-03-17T17:11:39.782898 #9745]  INFO -- : (0.000024s) BEGIN
I, [2020-03-17T17:11:39.782914 #9745]  INFO -- : (0.000024s) BEGIN
I, [2020-03-17T17:11:39.783076 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783104 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783120 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783135 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783150 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783165 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783179 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783194 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783603 #9745]  INFO -- : (0.000132s) SELECT count(*) AS 'count' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.783642 #9745]  INFO -- : (0.000132s) SELECT count(*) AS 'count' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.783662 #9745]  INFO -- : (0.000132s) SELECT count(*) AS 'count' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.783679 #9745]  INFO -- : (0.000132s) SELECT count(*) AS 'count' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.783696 #9745]  INFO -- : (0.000132s) SELECT count(*) AS 'count' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.783713 #9745]  INFO -- : (0.000132s) SELECT count(*) AS 'count' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.783728 #9745]  INFO -- : (0.000132s) SELECT count(*) AS 'count' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.783744 #9745]  INFO -- : (0.000132s) SELECT count(*) AS 'count' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.783882 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783910 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.783928 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.784423 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.784447 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.784469 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.784525 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.784558 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.784576 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#record when the expense lacks a payee rejects the expense as invalid
I, [2020-03-17T17:11:39.784667 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.784690 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.784705 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.784719 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.784732 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.784745 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.784757 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.784770 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.784783 #9745]  INFO -- : (0.000027s) ROLLBACK
I, [2020-03-17T17:11:39.785252 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.785282 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.785299 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.785314 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.785328 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.786071 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.786090 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.786104 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.786118 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.786131 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829137 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829182 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829202 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829217 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829231 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829245 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829259 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829272 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829285 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829298 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829332 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.829594 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829621 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829637 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829651 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829665 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829679 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829699 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829722 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829737 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829751 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829764 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.829783 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830561 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830594 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830612 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830628 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830650 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830664 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830676 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830689 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830703 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830715 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830745 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830761 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.830779 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when expenses exist on the given date returns the expense records as JSON
I, [2020-03-17T17:11:39.831029 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831054 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831069 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831083 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831108 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831122 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831135 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831147 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831160 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831173 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831185 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831198 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831211 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831223 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
